song,artist,this_week,last_week,peak_position,weeks_on_chart,mbid,danceability,genre,gender,mood,instrumental,bpm,key,loudness,mood_happy,year,genre_full
The London,"Young Thug, J. Cole & Travis Scott",26,24.0,12,4,94853b83-5992-4744-a87b-d949b31cf775,danceable,rhy,male,not_aggressive,voice,97.9715652466,F,0.86017781496,not_happy,2019,Rhythm & Blues (R&B)
Middle Child,J. Cole,30,25.0,4,22,3f6861eb-7173-43e3-bd3b-242ab94fcde2,danceable,rhy,female,not_aggressive,voice,123.900672913,A#,0.790315449238,not_happy,2019,Rhythm & Blues (R&B)
Act Up,City Girls,32,26.0,26,16,d6ebc3b9-7ad9-400f-8d46-ff7c1e76e2dd,danceable,hip,female,not_aggressive,instrumental,96.9854125977,C,0.773581385612,not_happy,2019,Hip-Hop
Pure Water,Mustard & Migos,33,29.0,23,21,775b2382-638a-4bf8-bc72-1e838cd16fd5,danceable,rhy,female,not_aggressive,voice,101.001426697,F,0.91426050663,not_happy,2019,Rhythm & Blues (R&B)
Omerta,Drake,35,,35,1,59d0cfbe-276d-4bef-beb1-098253bca51f,danceable,hip,male,not_aggressive,voice,81.952255249,A,0.964459180832,happy,2019,Hip-Hop
EARFQUAKE,"Tyler, The Creator",36,30.0,13,5,b9648e9e-e8b9-4db1-943e-eb1f6db72257,danceable,rhy,female,not_aggressive,voice,155.741531372,D,0.721960663795,not_happy,2019,Rhythm & Blues (R&B)
Look What God Gave Her,Thomas Rhett,37,39.0,32,16,f07c7c8e-3f9b-4e11-b2cf-b9e59e211746,danceable,pop,male,not_aggressive,voice,112.852073669,D,0.949565172195,not_happy,2019,Pop
Look Back At It,A Boogie Wit da Hoodie,40,40.0,27,28,c8374c1a-8c6f-4f45-9b4e-59187679b983,danceable,rhy,female,not_aggressive,voice,95.6127243042,D#,0.865969896317,not_happy,2019,Rhythm & Blues (R&B)
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,41,37.0,2,19,f9223f2d-9dda-47b6-b924-ae83c861cab9,danceable,rhy,female,not_aggressive,voice,84.8844680786,A#,0.928631603718,not_happy,2019,Rhythm & Blues (R&B)
Speechless,Dan + Shay,43,33.0,24,26,7230a157-87d2-4242-868a-9b1d3253e392,danceable,pop,male,not_aggressive,voice,135.915725708,F#,0.673207223415,not_happy,2019,Pop
Nightmare,Halsey,44,43.0,15,5,7ea8826d-436c-420f-943d-ceb3d0c20892,danceable,pop,female,not_aggressive,voice,146.074478149,A,0.714864552021,not_happy,2019,Pop
When The Party's Over,Billie Eilish,45,42.0,29,32,ba7a88da-f864-4ead-9a63-36f92d10de46,not_danceable,rhy,female,not_aggressive,voice,123.452804565,A,0.0136189134791,not_happy,2019,Rhythm & Blues (R&B)
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,46,49.0,34,4,8380f596-7433-4aae-86e1-d3a108c85b74,danceable,roc,female,aggressive,voice,172.265365601,A,0.975528240204,not_happy,2019,Rock
Ran$om,Lil Tecca,52,65.0,52,3,6a4be581-37be-45d9-9b14-522b7f0dd183,danceable,pop,female,not_aggressive,voice,89.8520202637,A#,0.839504361153,not_happy,2019,Pop
Walk Me Home,P!nk,55,57.0,49,16,0fce262b-e642-4444-b709-cde62dc680b3,not_danceable,pop,male,not_aggressive,voice,178.205947876,D,0.894077718258,happy,2019,Pop
Clout,Offset Featuring Cardi B,58,53.0,39,11,c3e5ade3-fbdf-496c-b317-f2e841f0e871,not_danceable,pop,female,not_aggressive,instrumental,82.9809570312,G#,0.884508013725,not_happy,2019,Pop
Press,Cardi B,60,47.0,16,3,0b0b41ea-51de-4bb8-86c9-7039aff48faf,danceable,rhy,female,not_aggressive,voice,133.697784424,A#,0.29250857234,not_happy,2019,Rhythm & Blues (R&B)
Easier,5 Seconds Of Summer,62,63.0,48,4,25597f61-a704-4c93-84b7-067812cbc6a1,danceable,rhy,female,not_aggressive,instrumental,87.826210022,F,0.857754409313,not_happy,2019,Rhythm & Blues (R&B)
All To Myself,Dan + Shay,66,71.0,66,7,e8d126c1-d46c-438c-be92-ed3406e91d24,danceable,pop,male,not_aggressive,voice,95.0159454346,C#,0.880275249481,not_happy,2019,Pop
Shotta Flow,NLE Choppa,67,81.0,67,9,286c68bb-66a8-4b8b-b850-1a3c72762af7,danceable,hip,female,not_aggressive,voice,120.111732483,A#,0.770028114319,not_happy,2019,Hip-Hop
Callaita,Bad Bunny & Tainy,68,69.0,68,2,3f288b3a-3270-4984-9638-201c4d6754d3,danceable,rhy,male,not_aggressive,voice,87.7952270508,D,0.871781170368,not_happy,2019,Rhythm & Blues (R&B)
Rearview Town,Jason Aldean,69,68.0,68,4,c674c4a2-aab4-401b-b763-225b55485908,danceable,roc,male,not_aggressive,instrumental,142.08555603,F#,0.928611218929,not_happy,2019,Rock
Before I Let Go,Beyonce,72,73.0,65,9,cb6e819a-ce5c-4f70-b32b-f60ed4401604,danceable,pop,female,not_aggressive,instrumental,102.958877563,A#,0.937182247639,not_happy,2019,Pop
Talk You Out Of It,Florida Georgia Line,73,78.0,73,18,0051dafd-d42c-4809-9769-e65470ab3690,danceable,pop,male,not_aggressive,voice,119.985923767,E,0.892646491528,happy,2019,Pop
Sanguine Paradise,Lil Uzi Vert,78,76.0,28,10,dc31586e-3785-42f3-8a0e-5a885fe6b6a5,danceable,rhy,female,not_aggressive,voice,134.883071899,A,0.833666324615,not_happy,2019,Rhythm & Blues (R&B)
Sanctuary,Joji,80,,80,1,a7aa28c6-9db9-43ff-baf8-f8d5b6874379,danceable,rhy,female,not_aggressive,instrumental,166.085372925,C#,0.826954066753,not_happy,2019,Rhythm & Blues (R&B)
Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",81,100.0,81,2,6b048c69-73cf-4229-9006-0112dbea4adf,danceable,rhy,female,not_aggressive,instrumental,87.9576950073,F,0.948481440544,not_happy,2019,Rhythm & Blues (R&B)
Raised On Country,Chris Young,83,90.0,83,3,f302bbab-713d-4a98-81a5-c98ac879789d,danceable,roc,male,not_aggressive,voice,147.926177979,D,0.916578888893,happy,2019,Rock
Love Ain't,Eli Young Band,85,80.0,50,10,00b87afb-f39f-430a-b22e-85a261468e21,danceable,roc,male,not_aggressive,voice,98.0459060669,E,0.898925483227,happy,2019,Rock
Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",87,94.0,87,4,17647ef4-1e00-4920-9276-d2f1dce9e4f6,danceable,hip,female,not_aggressive,voice,135.989089966,A#,0.945215702057,happy,2019,Hip-Hop
Wake Up,Travis Scott,89,,30,3,7a68ab7b-a148-4917-882d-dea45d3de0a4,danceable,rhy,female,not_aggressive,voice,148.931900024,B,0.674654066563,not_happy,2019,Rhythm & Blues (R&B)
Big Ole Freak,Megan Thee Stallion,93,86.0,65,11,8b67f6cc-d637-4ba5-9160-fcc0997981eb,danceable,hip,female,not_aggressive,voice,142.977676392,A#,0.857419073582,not_happy,2019,Hip-Hop
Te Robare,Nicky Jam X Ozuna,94,91.0,91,6,285cb076-2586-4cf9-8167-9e52ee855548,danceable,rhy,female,not_aggressive,instrumental,87.9315109253,F,0.94000518322,happy,2019,Rhythm & Blues (R&B)
Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,96,97.0,69,8,f16be69a-9a11-4b69-ad39-11a5c369c1e9,danceable,rhy,female,not_aggressive,instrumental,100.013969421,A,0.927577674389,not_happy,2019,Rhythm & Blues (R&B)
Robbery,Juice WRLD,98,96.0,27,18,f13e6235-1579-452c-ba1e-f4d365abc7f1,danceable,rhy,female,not_aggressive,voice,80.0631942749,D,0.741628170013,happy,2019,Rhythm & Blues (R&B)
The Ones That Didn't Make It Back Home,Justin Moore,100,,100,1,2038d56a-d59b-41fb-8912-c98be8249afc,danceable,roc,male,not_aggressive,voice,138.038726807,D#,0.931264281273,not_happy,2019,Rock
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,1.0,1,17,1f3d90c6-b7d0-4a59-9898-4ca4645308ae,not_danceable,roc,female,aggressive,voice,89.4994506836,E,0.961428880692,happy,2019,Rock
Senorita,Shawn Mendes & Camila Cabello,2,,2,1,2388d3c6-50f0-4cd5-a20a-8b68ac9a2621,danceable,dan,male,not_aggressive,instrumental,129.943710327,A,0.859284818172,not_happy,2019,Dance/Electronic
Money In The Grave,Drake Featuring Rick Ross,8,7.0,7,2,63b31e5c-df3f-4900-9d86-ebf31f753102,danceable,rhy,female,not_aggressive,voice,100.305137634,A#,0.882453560829,not_happy,2019,Rhythm & Blues (R&B)
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,12,11.0,1,36,b6df9d04-2303-4ec7-a416-367b06a026cb,danceable,pop,female,not_aggressive,voice,89.8964920044,D,0.897321462631,happy,2019,Pop
If I Can't Have You,Shawn Mendes,14,13.0,2,8,6dd2d92e-90f0-4f23-aab6-87316a653b4f,danceable,rhy,male,not_aggressive,instrumental,120.9034729,A,0.940785050392,not_happy,2019,Rhythm & Blues (R&B)
Panini,Lil Nas X,16,,16,1,fa60c2aa-288c-4f23-846d-05ef9b4d22b7,danceable,dan,female,not_aggressive,instrumental,153.541397095,F,0.783972978592,not_happy,2019,Dance/Electronic
Without Me,Halsey,17,16.0,1,38,888bb953-61ed-45e8-9c4f-33c3346dc16f,danceable,rhy,female,not_aggressive,voice,135.955062866,F#,0.790792047977,not_happy,2019,Rhythm & Blues (R&B)
God's Country,Blake Shelton,18,21.0,18,13,e0287d0e-9d09-4ced-9434-fb9c27d7d17d,danceable,pop,male,aggressive,instrumental,139.890838623,F,0.922444462776,not_happy,2019,Pop
Pop Out,Polo G Featuring Lil Tjay,19,18.0,11,14,a37c9b63-906b-447d-bb66-c42ac45e1489,danceable,hip,female,not_aggressive,voice,83.9210205078,A#,0.922618806362,happy,2019,Hip-Hop
MEGATRON,Nicki Minaj,20,,20,1,1327b608-c616-409e-bec0-0f11a78a662f,danceable,rhy,female,not_aggressive,voice,93.960395813,C,0.900866448879,happy,2019,Rhythm & Blues (R&B)
Sweet But Psycho,Ava Max,21,17.0,10,28,f9b48b9e-fee4-4bff-8b50-646aca297b80,danceable,pop,female,not_aggressive,voice,132.953552246,C#,0.880677103996,happy,2019,Pop
"Hey Look Ma, I Made It",Panic! At The Disco,24,24.0,24,11,057c8042-8030-4070-b01b-b11b00817a0d,not_danceable,pop,male,not_aggressive,voice,108.025169373,A#,0.916709542274,not_happy,2019,Pop
Happier,Marshmello & Bastille,25,20.0,2,45,ff183df7-8234-4cae-93bd-ee4a0d0bd709,not_danceable,cla,female,not_aggressive,instrumental,99.5504302979,G,0.633028209209,not_happy,2019,Classical
Rumor,Lee Brice,26,25.0,25,16,8d9c5da7-09a9-4b76-b6d9-23b314399416,not_danceable,rhy,female,not_aggressive,voice,140.90145874,A,0.71574473381,not_happy,2019,Rhythm & Blues (R&B)
Whiskey Glasses,Morgan Wallen,28,22.0,17,17,fac61a09-4c85-4583-8786-ad7c41b00c48,danceable,roc,male,not_aggressive,voice,150.107376099,F#,0.960179388523,happy,2019,Rock
The London,"Young Thug, J. Cole & Travis Scott",30,26.0,12,5,94853b83-5992-4744-a87b-d949b31cf775,danceable,rhy,male,not_aggressive,voice,97.9715652466,F,0.86017781496,not_happy,2019,Rhythm & Blues (R&B)
ME!,Taylor Swift Featuring Brendon Urie,31,15.0,2,10,26359b00-81fa-4f04-bcb5-d1f3955e72e7,danceable,pop,male,not_aggressive,voice,90.9808654785,F,0.97845607996,happy,2019,Pop
High Hopes,Panic! At The Disco,32,23.0,4,47,c1296fc9-08d8-4c4b-af8b-d92da5397850,danceable,pop,male,aggressive,voice,163.938995361,A#,0.913865327835,happy,2019,Pop
Act Up,City Girls,34,32.0,26,17,d6ebc3b9-7ad9-400f-8d46-ff7c1e76e2dd,danceable,hip,female,not_aggressive,instrumental,96.9854125977,C,0.773581385612,not_happy,2019,Hip-Hop
Middle Child,J. Cole,36,30.0,4,23,3f6861eb-7173-43e3-bd3b-242ab94fcde2,danceable,rhy,female,not_aggressive,voice,123.900672913,A#,0.790315449238,not_happy,2019,Rhythm & Blues (R&B)
Pure Water,Mustard & Migos,38,33.0,23,22,775b2382-638a-4bf8-bc72-1e838cd16fd5,danceable,rhy,female,not_aggressive,voice,101.001426697,F,0.91426050663,not_happy,2019,Rhythm & Blues (R&B)
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,39,46.0,34,5,8380f596-7433-4aae-86e1-d3a108c85b74,danceable,roc,female,aggressive,voice,172.265365601,A,0.975528240204,not_happy,2019,Rock
Press,Cardi B,43,60.0,16,4,0b0b41ea-51de-4bb8-86c9-7039aff48faf,danceable,rhy,female,not_aggressive,voice,133.697784424,A#,0.29250857234,not_happy,2019,Rhythm & Blues (R&B)
Speechless,Dan + Shay,44,43.0,24,27,7230a157-87d2-4242-868a-9b1d3253e392,danceable,pop,male,not_aggressive,voice,135.915725708,F#,0.673207223415,not_happy,2019,Pop
EARFQUAKE,"Tyler, The Creator",46,36.0,13,6,b9648e9e-e8b9-4db1-943e-eb1f6db72257,danceable,rhy,female,not_aggressive,voice,155.741531372,D,0.721960663795,not_happy,2019,Rhythm & Blues (R&B)
Look Back At It,A Boogie Wit da Hoodie,47,40.0,27,29,c8374c1a-8c6f-4f45-9b4e-59187679b983,danceable,rhy,female,not_aggressive,voice,95.6127243042,D#,0.865969896317,not_happy,2019,Rhythm & Blues (R&B)
Shotta Flow,NLE Choppa,48,67.0,48,10,286c68bb-66a8-4b8b-b850-1a3c72762af7,danceable,hip,female,not_aggressive,voice,120.111732483,A#,0.770028114319,not_happy,2019,Hip-Hop
"Break Up With Your Girlfriend, I'm Bored",Ariana Grande,49,41.0,2,20,f9223f2d-9dda-47b6-b924-ae83c861cab9,danceable,rhy,female,not_aggressive,voice,84.8844680786,A#,0.928631603718,not_happy,2019,Rhythm & Blues (R&B)
Nightmare,Halsey,50,44.0,15,6,7ea8826d-436c-420f-943d-ceb3d0c20892,danceable,pop,female,not_aggressive,voice,146.074478149,A,0.714864552021,not_happy,2019,Pop
Ran$om,Lil Tecca,51,52.0,51,4,6a4be581-37be-45d9-9b14-522b7f0dd183,danceable,pop,female,not_aggressive,voice,89.8520202637,A#,0.839504361153,not_happy,2019,Pop
Look What God Gave Her,Thomas Rhett,54,37.0,32,17,f07c7c8e-3f9b-4e11-b2cf-b9e59e211746,danceable,pop,male,not_aggressive,voice,112.852073669,D,0.949565172195,not_happy,2019,Pop
Clout,Offset Featuring Cardi B,56,58.0,39,12,c3e5ade3-fbdf-496c-b317-f2e841f0e871,not_danceable,pop,female,not_aggressive,instrumental,82.9809570312,G#,0.884508013725,not_happy,2019,Pop
Walk Me Home,P!nk,62,55.0,49,17,0fce262b-e642-4444-b709-cde62dc680b3,not_danceable,pop,male,not_aggressive,voice,178.205947876,D,0.894077718258,happy,2019,Pop
Easier,5 Seconds Of Summer,64,62.0,48,5,25597f61-a704-4c93-84b7-067812cbc6a1,danceable,rhy,female,not_aggressive,instrumental,87.826210022,F,0.857754409313,not_happy,2019,Rhythm & Blues (R&B)
All To Myself,Dan + Shay,67,66.0,66,8,e8d126c1-d46c-438c-be92-ed3406e91d24,danceable,pop,male,not_aggressive,voice,95.0159454346,C#,0.880275249481,not_happy,2019,Pop
Callaita,Bad Bunny & Tainy,68,68.0,68,3,3f288b3a-3270-4984-9638-201c4d6754d3,danceable,rhy,male,not_aggressive,voice,87.7952270508,D,0.871781170368,not_happy,2019,Rhythm & Blues (R&B)
Rearview Town,Jason Aldean,71,69.0,68,5,c674c4a2-aab4-401b-b763-225b55485908,danceable,roc,male,not_aggressive,instrumental,142.08555603,F#,0.928611218929,not_happy,2019,Rock
Talk You Out Of It,Florida Georgia Line,76,73.0,73,19,0051dafd-d42c-4809-9769-e65470ab3690,danceable,pop,male,not_aggressive,voice,119.985923767,E,0.892646491528,happy,2019,Pop
Bacc At It Again,"Yella Beezy, Gucci Mane & Quavo",78,87.0,78,5,17647ef4-1e00-4920-9276-d2f1dce9e4f6,danceable,hip,female,not_aggressive,voice,135.989089966,A#,0.945215702057,happy,2019,Hip-Hop
Before I Let Go,Beyonce,79,72.0,65,10,cb6e819a-ce5c-4f70-b32b-f60ed4401604,danceable,pop,female,not_aggressive,instrumental,102.958877563,A#,0.937182247639,not_happy,2019,Pop
Raised On Country,Chris Young,81,83.0,81,4,f302bbab-713d-4a98-81a5-c98ac879789d,danceable,roc,male,not_aggressive,voice,147.926177979,D,0.916578888893,happy,2019,Rock
Wake Up,Travis Scott,82,89.0,30,4,7a68ab7b-a148-4917-882d-dea45d3de0a4,danceable,rhy,female,not_aggressive,voice,148.931900024,B,0.674654066563,not_happy,2019,Rhythm & Blues (R&B)
Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",83,81.0,81,3,6b048c69-73cf-4229-9006-0112dbea4adf,danceable,rhy,female,not_aggressive,instrumental,87.9576950073,F,0.948481440544,not_happy,2019,Rhythm & Blues (R&B)
Sanguine Paradise,Lil Uzi Vert,89,78.0,28,11,dc31586e-3785-42f3-8a0e-5a885fe6b6a5,danceable,rhy,female,not_aggressive,voice,134.883071899,A,0.833666324615,not_happy,2019,Rhythm & Blues (R&B)
Love Ain't,Eli Young Band,90,85.0,50,11,00b87afb-f39f-430a-b22e-85a261468e21,danceable,roc,male,not_aggressive,voice,98.0459060669,E,0.898925483227,happy,2019,Rock
The Ones That Didn't Make It Back Home,Justin Moore,93,100.0,93,2,2038d56a-d59b-41fb-8912-c98be8249afc,danceable,roc,male,not_aggressive,voice,138.038726807,D#,0.931264281273,not_happy,2019,Rock
Big Ole Freak,Megan Thee Stallion,94,93.0,65,12,8b67f6cc-d637-4ba5-9160-fcc0997981eb,danceable,hip,female,not_aggressive,voice,142.977676392,A#,0.857419073582,not_happy,2019,Hip-Hop
Baila Baila Baila,Ozuna x Daddy Yankee x J Balvin x Farruko x Anuel AA,97,96.0,69,9,f16be69a-9a11-4b69-ad39-11a5c369c1e9,danceable,rhy,female,not_aggressive,instrumental,100.013969421,A,0.927577674389,not_happy,2019,Rhythm & Blues (R&B)
Omerta,Drake,99,35.0,35,2,59d0cfbe-276d-4bef-beb1-098253bca51f,danceable,hip,male,not_aggressive,voice,81.952255249,A,0.964459180832,happy,2019,Hip-Hop
Old Town Road,Lil Nas X Featuring Billy Ray Cyrus,1,1.0,1,18,1f3d90c6-b7d0-4a59-9898-4ca4645308ae,not_danceable,roc,female,aggressive,voice,89.4994506836,E,0.961428880692,happy,2019,Rock
Senorita,Shawn Mendes & Camila Cabello,5,2.0,2,2,2388d3c6-50f0-4cd5-a20a-8b68ac9a2621,danceable,dan,male,not_aggressive,instrumental,129.943710327,A,0.859284818172,not_happy,2019,Dance/Electronic
Sunflower (Spider-Man: Into The Spider-Verse),Post Malone & Swae Lee,8,12.0,1,37,b6df9d04-2303-4ec7-a416-367b06a026cb,danceable,pop,female,not_aggressive,voice,89.8964920044,D,0.897321462631,happy,2019,Pop
Money In The Grave,Drake Featuring Rick Ross,11,8.0,7,3,63b31e5c-df3f-4900-9d86-ebf31f753102,danceable,rhy,female,not_aggressive,voice,100.305137634,A#,0.882453560829,not_happy,2019,Rhythm & Blues (R&B)
If I Can't Have You,Shawn Mendes,14,14.0,2,9,6dd2d92e-90f0-4f23-aab6-87316a653b4f,danceable,rhy,male,not_aggressive,instrumental,120.9034729,A,0.940785050392,not_happy,2019,Rhythm & Blues (R&B)
God's Country,Blake Shelton,17,18.0,17,14,e0287d0e-9d09-4ced-9434-fb9c27d7d17d,danceable,pop,male,aggressive,instrumental,139.890838623,F,0.922444462776,not_happy,2019,Pop
"Hey Look Ma, I Made It",Panic! At The Disco,18,24.0,18,12,057c8042-8030-4070-b01b-b11b00817a0d,not_danceable,pop,male,not_aggressive,voice,108.025169373,A#,0.916709542274,not_happy,2019,Pop
Without Me,Halsey,19,17.0,1,39,888bb953-61ed-45e8-9c4f-33c3346dc16f,danceable,rhy,female,not_aggressive,voice,135.955062866,F#,0.790792047977,not_happy,2019,Rhythm & Blues (R&B)
Pop Out,Polo G Featuring Lil Tjay,20,19.0,11,15,a37c9b63-906b-447d-bb66-c42ac45e1489,danceable,hip,female,not_aggressive,voice,83.9210205078,A#,0.922618806362,happy,2019,Hip-Hop
Sweet But Psycho,Ava Max,21,21.0,10,29,f9b48b9e-fee4-4bff-8b50-646aca297b80,danceable,pop,female,not_aggressive,voice,132.953552246,C#,0.880677103996,happy,2019,Pop
Panini,Lil Nas X,22,16.0,16,2,fa60c2aa-288c-4f23-846d-05ef9b4d22b7,danceable,dan,female,not_aggressive,instrumental,153.541397095,F,0.783972978592,not_happy,2019,Dance/Electronic
Happier,Marshmello & Bastille,25,25.0,2,46,ff183df7-8234-4cae-93bd-ee4a0d0bd709,not_danceable,cla,female,not_aggressive,instrumental,99.5504302979,G,0.633028209209,not_happy,2019,Classical
Whiskey Glasses,Morgan Wallen,27,28.0,17,18,fac61a09-4c85-4583-8786-ad7c41b00c48,danceable,roc,male,not_aggressive,voice,150.107376099,F#,0.960179388523,happy,2019,Rock
Pure Water,Mustard & Migos,29,38.0,23,23,775b2382-638a-4bf8-bc72-1e838cd16fd5,danceable,rhy,female,not_aggressive,voice,101.001426697,F,0.91426050663,not_happy,2019,Rhythm & Blues (R&B)
Act Up,City Girls,30,34.0,26,18,d6ebc3b9-7ad9-400f-8d46-ff7c1e76e2dd,danceable,hip,female,not_aggressive,instrumental,96.9854125977,C,0.773581385612,not_happy,2019,Hip-Hop
The London,"Young Thug, J. Cole & Travis Scott",31,30.0,12,6,94853b83-5992-4744-a87b-d949b31cf775,danceable,rhy,male,not_aggressive,voice,97.9715652466,F,0.86017781496,not_happy,2019,Rhythm & Blues (R&B)
Rumor,Lee Brice,32,26.0,25,17,8d9c5da7-09a9-4b76-b6d9-23b314399416,not_danceable,rhy,female,not_aggressive,voice,140.90145874,A,0.71574473381,not_happy,2019,Rhythm & Blues (R&B)
High Hopes,Panic! At The Disco,33,32.0,4,48,c1296fc9-08d8-4c4b-af8b-d92da5397850,danceable,pop,male,aggressive,voice,163.938995361,A#,0.913865327835,happy,2019,Pop
Speechless,Dan + Shay,34,44.0,24,28,7230a157-87d2-4242-868a-9b1d3253e392,danceable,pop,male,not_aggressive,voice,135.915725708,F#,0.673207223415,not_happy,2019,Pop
Ran$om,Lil Tecca,35,51.0,35,5,6a4be581-37be-45d9-9b14-522b7f0dd183,danceable,pop,female,not_aggressive,voice,89.8520202637,A#,0.839504361153,not_happy,2019,Pop
Cross Me,Ed Sheeran Featuring Chance The Rapper & PnB Rock,37,39.0,34,6,8380f596-7433-4aae-86e1-d3a108c85b74,danceable,roc,female,aggressive,voice,172.265365601,A,0.975528240204,not_happy,2019,Rock
ME!,Taylor Swift Featuring Brendon Urie,39,31.0,2,11,26359b00-81fa-4f04-bcb5-d1f3955e72e7,danceable,pop,male,not_aggressive,voice,90.9808654785,F,0.97845607996,happy,2019,Pop
Press,Cardi B,42,43.0,16,5,0b0b41ea-51de-4bb8-86c9-7039aff48faf,danceable,rhy,female,not_aggressive,voice,133.697784424,A#,0.29250857234,not_happy,2019,Rhythm & Blues (R&B)
Middle Child,J. Cole,43,36.0,4,24,3f6861eb-7173-43e3-bd3b-242ab94fcde2,danceable,rhy,female,not_aggressive,voice,123.900672913,A#,0.790315449238,not_happy,2019,Rhythm & Blues (R&B)
Shotta Flow,NLE Choppa,45,48.0,45,11,286c68bb-66a8-4b8b-b850-1a3c72762af7,danceable,hip,female,not_aggressive,voice,120.111732483,A#,0.770028114319,not_happy,2019,Hip-Hop
Look Back At It,A Boogie Wit da Hoodie,48,47.0,27,30,c8374c1a-8c6f-4f45-9b4e-59187679b983,danceable,rhy,female,not_aggressive,voice,95.6127243042,D#,0.865969896317,not_happy,2019,Rhythm & Blues (R&B)
Look What God Gave Her,Thomas Rhett,51,54.0,32,18,f07c7c8e-3f9b-4e11-b2cf-b9e59e211746,danceable,pop,male,not_aggressive,voice,112.852073669,D,0.949565172195,not_happy,2019,Pop
EARFQUAKE,"Tyler, The Creator",52,46.0,13,7,b9648e9e-e8b9-4db1-943e-eb1f6db72257,danceable,rhy,female,not_aggressive,voice,155.741531372,D,0.721960663795,not_happy,2019,Rhythm & Blues (R&B)
Nightmare,Halsey,54,50.0,15,7,7ea8826d-436c-420f-943d-ceb3d0c20892,danceable,pop,female,not_aggressive,voice,146.074478149,A,0.714864552021,not_happy,2019,Pop
Clout,Offset Featuring Cardi B,56,56.0,39,13,c3e5ade3-fbdf-496c-b317-f2e841f0e871,not_danceable,pop,female,not_aggressive,instrumental,82.9809570312,G#,0.884508013725,not_happy,2019,Pop
All To Myself,Dan + Shay,59,67.0,59,9,e8d126c1-d46c-438c-be92-ed3406e91d24,danceable,pop,male,not_aggressive,voice,95.0159454346,C#,0.880275249481,not_happy,2019,Pop
Walk Me Home,P!nk,64,62.0,49,18,0fce262b-e642-4444-b709-cde62dc680b3,not_danceable,pop,male,not_aggressive,voice,178.205947876,D,0.894077718258,happy,2019,Pop
Que Pretendes,J Balvin & Bad Bunny,65,,65,1,9fec67fc-8480-4df6-9f04-6f00c569ebfa,danceable,rhy,male,not_aggressive,instrumental,93.97290802,A#,0.960824012756,not_happy,2019,Rhythm & Blues (R&B)
Easier,5 Seconds Of Summer,66,64.0,48,6,25597f61-a704-4c93-84b7-067812cbc6a1,danceable,rhy,female,not_aggressive,instrumental,87.826210022,F,0.857754409313,not_happy,2019,Rhythm & Blues (R&B)
Rearview Town,Jason Aldean,68,71.0,68,6,c674c4a2-aab4-401b-b763-225b55485908,danceable,roc,male,not_aggressive,instrumental,142.08555603,F#,0.928611218929,not_happy,2019,Rock
Callaita,Bad Bunny & Tainy,69,68.0,68,4,3f288b3a-3270-4984-9638-201c4d6754d3,danceable,rhy,male,not_aggressive,voice,87.7952270508,D,0.871781170368,not_happy,2019,Rhythm & Blues (R&B)
Talk You Out Of It,Florida Georgia Line,75,76.0,73,20,0051dafd-d42c-4809-9769-e65470ab3690,danceable,pop,male,not_aggressive,voice,119.985923767,E,0.892646491528,happy,2019,Pop
When I Grow Up,NF,78,,78,1,730796cd-54de-4034-b343-e2b139970c78,danceable,pop,female,not_aggressive,voice,109.947212219,A#,0.704882442951,not_happy,2019,Pop
Raised On Country,Chris Young,79,81.0,79,5,f302bbab-713d-4a98-81a5-c98ac879789d,danceable,roc,male,not_aggressive,voice,147.926177979,D,0.916578888893,happy,2019,Rock
Before I Let Go,Beyonce,80,79.0,65,11,cb6e819a-ce5c-4f70-b32b-f60ed4401604,danceable,pop,female,not_aggressive,instrumental,102.958877563,A#,0.937182247639,not_happy,2019,Pop
My Type,Saweetie,81,,81,1,243f2558-8612-44b0-bf38-287acf7e44d7,danceable,hip,female,not_aggressive,voice,104.986694336,C,0.954523861408,happy,2019,Hip-Hop
Love Ain't,Eli Young Band,91,90.0,50,12,00b87afb-f39f-430a-b22e-85a261468e21,danceable,roc,male,not_aggressive,voice,98.0459060669,E,0.898925483227,happy,2019,Rock
MEGATRON,Nicki Minaj,92,20.0,20,2,1327b608-c616-409e-bec0-0f11a78a662f,danceable,rhy,female,not_aggressive,voice,93.960395813,C,0.900866448879,happy,2019,Rhythm & Blues (R&B)
Otro Trago,"Sech, Darell, Nicky Jam, Ozuna & Anuel AA",93,83.0,81,4,6b048c69-73cf-4229-9006-0112dbea4adf,danceable,rhy,female,not_aggressive,instrumental,87.9576950073,F,0.948481440544,not_happy,2019,Rhythm & Blues (R&B)
Wake Up,Travis Scott,94,82.0,30,5,7a68ab7b-a148-4917-882d-dea45d3de0a4,danceable,rhy,female,not_aggressive,voice,148.931900024,B,0.674654066563,not_happy,2019,Rhythm & Blues (R&B)
